품목,보관 조건,최소 보관 권장 기간 (일),비고
닭가슴살,냉장/냉동,3,육류. 냉동 시 30일
닭고기,냉장,1,장기 보관 시 냉동 필수
닭근위,냉장/냉동,3,육류. 냉동 시 30일
닭다리살,냉장/냉동,3,육류. 냉동 시 30일
당근,냉장,14,밀봉하여 보관
당근채,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
당면,냉장/냉동,3,생면/떡류. 냉동 시 30일
대파,냉장,3,신선 채소/향신료. 밀봉 보관.
대파 (단),냉장,7,흙 털고 밀봉
대파를,냉장,3,신선 채소/향신료. 밀봉 보관.
대파흰부분,실온,180,"가루류. 밀봉, 습기 주의."
대패,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
대패삼겹살,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
도라지,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
도시락까지,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
도토리묵,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
돈등심,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
동태,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
동태전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
동태포,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
돼지갈비,냉장/냉동,3,육류. 냉동 시 30일
돼지고기,냉장,3,장기 보관 시 냉동 필수
돼지고기전지,냉장/냉동,3,육류. 냉동 시 30일
돼지목살,냉장/냉동,3,육류. 냉동 시 30일
돼지지방,냉장/냉동,3,육류. 냉동 시 30일
돼지호박,냉장/냉동,3,육류. 냉동 시 30일
된장,실온/냉장,장기 보관,곰팡이 주의
두부,냉장,2,개봉 후 물에 담가 보관 (개봉 전은 유통기한까지)
두부전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
드라이,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
들깻가루,실온,180,"가루류. 밀봉, 습기 주의."
등갈비,냉장/냉동,3,육류. 냉동 시 30일
디포리,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
딸기,냉장,3,세척하지 않고 보관
딸기잼,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
땅콩버터,냉장/실온,90,양념/소스류. 개봉 후 냉장.
땡초크랩마요,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
떡국,냉장/냉동,3,생면/떡류. 냉동 시 30일
떡국떡,냉장/냉동,3,생면/떡류. 냉동 시 30일
떡볶이,냉장/냉동,3,생면/떡류. 냉동 시 30일
떡볶이떡,냉장/냉동,3,생면/떡류. 냉동 시 30일
또띠아,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
뜨거운물,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
라면 5개입 (총 5개),실온,150,제품 유통기한 확인
라면사리,냉장/냉동,3,생면/떡류. 냉동 시 30일
라면수프,냉장/냉동,3,생면/떡류. 냉동 시 30일
런천미트,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
레드와인,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
레몬,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
레몬쥬스,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
레몬즙,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
로메인,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
마가린,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
마늘,냉장,3,신선 채소/향신료. 밀봉 보관.
마늘쫑,냉장,3,신선 채소/향신료. 밀봉 보관.
마라소스,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
마른멸치,실온,180,"건조한 곳 보관, 장기 보관 시 냉동 권장"
마요네즈,냉장,60,개봉 후 (개봉 전 실온 보관)
만두,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
만두피,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
맛소금,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
맛술,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
메밀면,냉장/냉동,3,생면/떡류. 냉동 시 30일
멸치,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
멸치액젓,실온,365,개봉 후 (밀봉 보관)
멸치육수,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
명절,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
명태 (마리),냉장,1,장기 보관 시 냉동 필수
모닝빵,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
모짜렐라,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
모짜렐라치즈,냉장/실온,90,양념/소스류. 개봉 후 냉장.
모차렐라,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
모차렐라치즈,냉장/실온,90,양념/소스류. 개봉 후 냉장.
목살,냉장/냉동,3,육류. 냉동 시 30일
목이버섯,냉장,3,신선 채소/향신료. 밀봉 보관.
무(봄),냉장,14,흙 털고 비닐에 싸서 보관
무말랭이,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
무우,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
물엿,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
물을,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
미나리,냉장,3,물컵에 담아 보관 시 연장 가능
밀가루,실온,365,개봉 후 밀봉 필수
밀떡볶이떡,냉장/냉동,3,생면/떡류. 냉동 시 30일
바게트,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
바게트빵,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
바나나 (송이),실온,3,서늘한 곳 보관
바닐라아이스크림,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
바지락,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
바질,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
반달,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
방울토마토,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
배(신고) (개),냉장,60,개별 포장
배추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
배추(여름),냉장,14,겉잎으로 싸서 보관
배추전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
버섯(새송이버섯),냉장,7,종이 타월에 싸서 보관
버섯전,냉장,3,신선 채소/향신료. 밀봉 보관.
베이컨,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
베트남,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
봉어묵,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
부채살,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
부추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
부추 (단),냉장,3,물기 없이 밀봉 보관
부침가루,실온,365,개봉 후 밀봉 필수
부침용,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
북어채,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
불고기용소고기,냉장/냉동,3,육류. 냉동 시 30일
불린,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
불린고사리,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
불린당면,냉장/냉동,3,생면/떡류. 냉동 시 30일
불린미역,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
불린표고,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
빵 (개입),실온,2,"밀봉 보관, 장기 보관 시 냉동"
빵가루,실온,180,"가루류. 밀봉, 습기 주의."
빽라면,냉장/냉동,3,생면/떡류. 냉동 시 30일
빽햄,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
사각어묵,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
사각얼음,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
사골국물,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
사과,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
사과(부사),냉장,30,다른 과일과 분리 보관
사과조림,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
사이다,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
사천고추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
삶은,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
삶은달걀,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
삼겹살,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
상추(적상추),냉장,3,밀봉하여 보관
새송이,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
새송이버섯,냉장,3,신선 채소/향신료. 밀봉 보관.
새송이버섯전,냉장,3,신선 채소/향신료. 밀봉 보관.
새우(흰다리새우),냉장,1,장기 보관 시 냉동 필수
새우전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
새우젓,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
새우젓을,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
생굴,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
생밤,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
생크림,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
설탕,실온,장기 보관,습기 주의
셀러리,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
소고기(국산),냉장,3,장기 보관 시 냉동 필수
소고기(수입),냉장,3,장기 보관 시 냉동 필수
소고기다시다,냉장/냉동,3,육류. 냉동 시 30일
소금물,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
소금물을,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
소금을,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
소면,냉장/냉동,3,생면/떡류. 냉동 시 30일
소면삶는물,냉장/냉동,3,생면/떡류. 냉동 시 30일
소시지,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
소양지,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
소주,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
손질갈치,냉장/냉동,1,어패류. 냉동 시 30일
손질법,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
손질오징어,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
손질한,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
쇠고기등심,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
수박,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
수박 (통),실온,7,자른 후 냉장 3일 이내
숙주,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
순대,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
순두부,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
순한맛라면,냉장/냉동,3,생면/떡류. 냉동 시 30일
스리라차,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
스테이크,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
스테이크소스,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
스틱버터,냉장/실온,90,양념/소스류. 개봉 후 냉장.
스프라이트,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
슬라이스,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
슬라이스치즈,냉장/실온,90,양념/소스류. 개봉 후 냉장.
슬라이스햄,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
습식쌀가루,실온,180,"가루류. 밀봉, 습기 주의."
시금치,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
시금치 (단),냉장,3,밀봉하여 보관
시나몬,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
시나몬파우더,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
식빵,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
신김치,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
쌀가루,실온,180,"가루류. 밀봉, 습기 주의."
쌀뜨물,실온,180,"가루류. 밀봉, 습기 주의."
쌈장,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
쑥갓,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
아셨쥬,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
알리오올리오,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
알배기,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
알새우칩,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
알타리무청,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
애호박,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
애호박 (개),냉장,7,물기 없이 보관
애호박전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
액젓,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
얇은,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
양념간장,냉장/실온,90,양념/소스류. 개봉 후 냉장.
양념장,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
양념치킨소스,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
양배추,냉장,14,겉잎 제거 후 밀봉
양상추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
양송이버섯,냉장,3,신선 채소/향신료. 밀봉 보관.
양조식초,냉장/실온,90,양념/소스류. 개봉 후 냉장.
양파,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
양파 (망),실온,30,서늘하고 건조한 곳 보관
양파볶음,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
어묵,냉장,3,개봉 후에는 짧게 보관
얼음,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
엑스트라버진,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
연겨자,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
연와사비,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
연유,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
열무,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
옛날소시지,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
오렌지,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
오렌지(수입산) (개),냉장,14,개별 포장
오이,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
오이(다다기),냉장,3,물기 없이 밀봉 보관
오이고추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
오징어,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
오징어(국산),냉장,1,장기 보관 시 냉동 필수
오징어채,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
오트밀,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
옥수수전분가루,실온,180,"가루류. 밀봉, 습기 주의."
올리고당,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
올리브유,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
완자전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
완전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
우목심,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
우스터소스,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
우유,냉장,3,개봉 후 (개봉 전은 유통기한까지)
원형단무지,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
육수건더기,실온,180,건조 식품. 밀봉 보관.
육수용멸치,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
육전,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
이리,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
자른미역,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
자숙,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
잡채밥,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
장아찌소스,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
재래식,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
재래식된장,냉장/실온,90,양념/소스류. 개봉 후 냉장.
전복,냉장/냉동,1,어패류. 냉동 시 30일
전복 (마리),냉장,1,장기 보관 시 냉동 필수
전복죽,냉장/냉동,1,어패류. 냉동 시 30일
전분가루,실온,180,"가루류. 밀봉, 습기 주의."
절단,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
절단다시마,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
절인배추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
조각,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
조개(바지락),냉장,1,장기 보관 시 냉동 필수
조기(참조기) (마리),냉장,1,장기 보관 시 냉동 필수
조미닭가슴살,냉장/냉동,3,육류. 냉동 시 30일
조선간장국간장,냉장/실온,90,양념/소스류. 개봉 후 냉장.
종이컵,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
주키니호박,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
중력분,실온,180,"가루류. 밀봉, 습기 주의."
중면,냉장/냉동,3,생면/떡류. 냉동 시 30일
즉석밥,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
즉석밥 200g (총 4개),실온,180,제품 유통기한 확인
진간장,냉장/실온,90,양념/소스류. 개봉 후 냉장.
진라면,냉장/냉동,3,생면/떡류. 냉동 시 30일
집에서,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
쪽파,냉장,5,세척 후 밀봉하여 보관
차돌박이,냉장/냉동,3,육류. 냉동 시 30일
찰옥수수,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
참기름,실온,180,어둡고 서늘한 곳 보관
참깨,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
참외 (개),냉장,7,숙성 정도에 따라 다름
참치캔,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
찹쌀가루,실온,180,"가루류. 밀봉, 습기 주의."
천일염,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
청갓,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
청국장,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
청양고추,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
청피망,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
체더슬라이스치즈,냉장/실온,90,양념/소스류. 개봉 후 냉장.
초고추장,냉장/실온,90,양념/소스류. 개봉 후 냉장.
초콜릿,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
춘장,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
치즈,냉장,14,"종류에 따라 다름, 개봉 후 밀봉 필수"
카레가루,실온,180,"가루류. 밀봉, 습기 주의."
칵테일새우,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
캐러멜,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
컵라면,실온,150,제품 유통기한 확인
케찹,냉장,180,개봉 후 (개봉 전 실온 장기 보관)
케첩,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
콩,실온,180,밀봉 보관
콩나물,냉장,3,물에 담가 보관
콩비지,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
쿠민가루,실온,180,"가루류. 밀봉, 습기 주의."
큐민가루,실온,180,"가루류. 밀봉, 습기 주의."
탄산수,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
탈피들깨가루,실온,180,"가루류. 밀봉, 습기 주의."
탕수육고기,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
토마토,실온,5,냉장 보관 시 맛 저하
토마토퓌레,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
토막,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
토막닭,냉장/냉동,3,육류. 냉동 시 30일
통깨,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
통단무지,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
통단팥,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
통마늘,냉장,3,신선 채소/향신료. 밀봉 보관.
통식빵,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
통조림(참치),실온,장기 보관,개봉 후 냉장 2일 이내
통조림골뱅이,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
통조림장조림,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
통조림참치,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
통조림햄,냉장/냉동,7,"가공육/어육. 개봉 후 7일, 냉동 시 30일"
튀김가루,실온,180,"가루류. 밀봉, 습기 주의."
튀김용,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
파르미자노,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
파마산,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
파마산치즈가루,실온,180,"가루류. 밀봉, 습기 주의."
파슬리,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
파슬리가루,실온,180,"가루류. 밀봉, 습기 주의."
파채,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
파프리카,냉장,7,세척하지 않고 보관
팽이버섯,냉장,3,신선 채소/향신료. 밀봉 보관.
페코리노,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
표고,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
표고버섯,냉장,3,신선 채소/향신료. 밀봉 보관.
표고불린물,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
풋고추,냉장,7,밀봉 보관
프로볼로네,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
피망,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
피자치즈,냉장/실온,90,양념/소스류. 개봉 후 냉장.
핫도그빵,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
항정살,냉장,7,범주 미분류. 일반적인 냉장 보관 기준 적용.
